Medidas feitas em: 16-12-2024
Hora,Distância (cm)
15:40:26,13.00
15:40:26,13.00
15:40:27,13.00
15:40:27,13.00
15:40:28,13.00
15:40:28,13.00
15:40:29,13.00
15:40:29,13.00
15:40:30,13.00
15:40:30,13.00
15:40:31,13.00
15:40:31,13.00
15:40:32,13.00
15:40:32,13.00
15:40:33,13.00
15:40:33,13.00
15:40:34,13.00
15:40:34,13.00
15:40:35,13.00
15:40:35,13.00
